CUSTID,GENDER,DOB,EDATE,AGE,AGEGRP1,AGEGRP2,TV_REG,NGROUP,NEIGHBORHOOD,LCDATE,ORGANICS,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
0007086172,,1932-12-13,1998-02-23,65,60-80,60-70,S West,C,23,1993-09-23,0,0.009999999999999998,South West,Tin,0,5,5
0007087357,F,1937-10-07,1998-02-23,60,60-80,60-70,London,A,04,1995-09-07,0,8000,South East,Gold,0,8,3
0007090293,F,1934-08-25,1998-02-23,63,60-80,60-70,East,C,20,1990-02-01,0,6000.01,Midlands,Gold,0,9,9
0007092040,F,1955-06-02,1998-02-23,42,40-60,40-50,Midlands,,,1993-11-04,1,0.009999999999999998,Midlands,Tin,1,7,5
0007099436,F,1953-04-16,1998-02-23,44,40-60,40-50,Wales & West,F,47,1994-01-28,0,0.009999999999999998,Midlands,Tin,0,9,5
0007099940,U,1931-10-14,1998-02-23,66,60-80,60-70,N West,C,22,1994-02-24,0,1000,North,Silver,0,9,4
0007101937,M,1958-05-08,1998-02-23,39,20-40,30-40,London,F,52,1993-12-16,1,0.009999999999999998,South East,Tin,1,7,5
0007102305,M,1948-05-20,1998-02-23,49,40-60,40-50,London,C,25,1990-03-01,0,0.009999999999999998,South East,Tin,0,11,8
0007109423,F,1965-04-11,1998-02-23,32,20-40,30-40,S & S East,C,19,1991-07-09,1,5000,South East,Silver,1,8,7
0007109946,,1928-06-10,1998-02-23,69,60-80,60-70,East,D,27,1990-05-17,0,500,Midlands,Silver,0,8,8
0007110421,,1931-04-26,1998-02-23,66,60-80,60-70,London,A,04,1989-11-16,0,6000,South East,Gold,0,8,9
0007114990,F,1935-11-20,1998-02-23,62,60-80,60-70,London,E,37,1993-06-04,1,1500,South East,Silver,1,11,5
0007116896,U,1957-08-25,1998-02-23,40,40-60,40-50,Wales & West,,,1994-01-07,0,15000,Midlands,Gold,0,7,5
0007117663,M,1945-06-17,1998-02-23,52,40-60,50-60,,C,24,1997-03-25,0,125,,Silver,0,6,1
0007119100,,1925-04-28,1998-02-23,72,60-80,70-80,N West,B,12,1986-05-21,0,6899.32,North,Gold,0,8,12
0007119585,F,1949-07-20,1998-02-23,48,40-60,40-50,C Scotland,E,42,1991-01-30,0,3000,Scottish,Silver,0,,8
0007120028,M,1940-07-01,1998-02-23,57,40-60,50-60,N East,F,51,1993-08-16,0,1500,North,Silver,0,11,5
0007122381,F,1960-11-09,1998-02-23,37,20-40,30-40,S & S East,D,33,1994-01-19,1,0.009999999999999998,South East,Tin,1,10,5
0007124929,M,1941-10-12,1998-02-23,56,40-60,50-60,N West,C,22,1993-09-24,0,0.009999999999999998,North,Tin,0,4,5
0007125127,F,1961-02-07,1998-02-23,37,20-40,30-40,London,C,22,1990-02-20,0,500,South East,Silver,0,6,9
0007126751,M,1967-01-23,1998-02-23,31,20-40,30-40,Border,F,53,1994-09-22,0,0.009999999999999998,Scottish,Tin,0,,4
0007126808,M,1957-03-12,1998-02-23,40,40-60,40-50,S & S East,F,52,1993-09-22,0,0.009999999999999998,South East,Tin,0,9,5
0007127170,M,1933-04-21,1998-02-23,64,60-80,60-70,N Scot,,,1982-02-24,0,6000,Scottish,Gold,0,6,17
0007130066,M,1924-03-21,1998-02-23,73,60-80,70-80,London,A,04,1970-09-01,1,1500,South East,Silver,1,9,28
0007131305,F,1948-03-15,1998-02-23,49,40-60,40-50,London,D,28,1990-05-01,0,0.019999999999999997,South East,Silver,0,10,8
0007132433,F,1971-09-17,1998-02-23,26,20-40,20-30,London,F,52,1994-10-21,1,0.009999999999999998,South East,Tin,1,11,4
0007135335,F,1963-09-22,1998-02-23,,,,London,D,31,1996-11-12,1,1500,South East,Silver,1,9,2
0007135475,M,1953-05-18,1998-02-23,44,40-60,40-50,London,A,02,1977-10-19,0,6000,South East,Gold,0,8,21
0007135777,U,1928-02-07,1998-02-23,70,60-80,70-80,N Scot,D,27,1985-07-31,0,500,Scottish,Silver,0,7,13
0007137842,M,1949-05-13,1998-02-23,48,40-60,40-50,Wales & West,C,19,1993-05-10,0,3100,Midlands,Silver,0,14,5
0007139853,F,1932-07-14,1998-02-23,65,60-80,60-70,S & S East,E,42,1994-03-07,0,7000.02,South East,Gold,0,11,4
0007139969,M,1932-08-01,1998-02-23,65,60-80,60-70,Wales & West,F,49,1990-06-26,0,600,Midlands,Silver,0,16,8
0007141912,F,1923-07-30,1998-02-23,74,60-80,70-80,S West,D,30,1994-04-25,0,1000,South West,Silver,0,11,4
0007142846,M,1948-04-17,1998-02-23,49,40-60,40-50,N West,B,10,1972-02-21,0,6300,North,Gold,0,6,27
0007145667,,1936-08-30,1998-02-23,61,60-80,60-70,Midlands,D,32,1990-03-01,1,0.009999999999999998,Midlands,Tin,1,8,8
0007147236,M,1929-01-13,1998-02-23,69,60-80,60-70,Midlands,D,33,1990-08-23,0,1000,Midlands,Silver,0,3,8
0007147430,F,1972-02-26,1998-02-23,26,20-40,20-30,Yorkshire,E,38,1997-10-14,1,1250,North,Silver,1,13,1
0007147570,,1948-03-30,1998-02-23,49,40-60,40-50,,B,05,1985-11-01,0,2.6599999999999997,,Silver,0,7,13
0007147988,,1920-10-01,1998-02-23,77,60-80,70-80,Wales & West,C,19,1991-01-07,0,3000,Midlands,Silver,0,7,8
0007148577,M,1931-08-08,1998-02-23,66,60-80,60-70,S & S East,D,28,1990-03-06,0,4884.25,South East,Silver,0,6,8
0007148712,M,1930-04-23,1998-02-23,67,60-80,60-70,London,E,37,1993-11-05,0,16000,South East,Gold,0,9,5
0007149271,M,1957-02-05,1998-02-23,41,40-60,40-50,C Scotland,F,47,1990-06-01,0,50.01,Scottish,Silver,0,14,8
0007150598,M,1960-05-02,1998-02-23,37,20-40,30-40,London,D,31,1990-03-01,0,0.009999999999999998,South East,Tin,0,,8
0007151233,M,1939-03-26,1998-02-23,58,40-60,50-60,London,C,25,1989-08-14,0,800,South East,Silver,0,7,9
0007151764,U,1952-10-04,1998-02-23,,,,London,C,23,1990-05-01,0,0.009999999999999998,South East,Tin,0,8,8
0007152078,M,1962-11-01,1998-02-23,35,20-40,30-40,Midlands,F,52,1987-05-30,1,6000,Midlands,Gold,1,10,11
0007152590,F,1964-03-07,1998-02-23,33,20-40,30-40,London,B,12,1987-11-05,1,0.009999999999999998,South East,Tin,1,8,11
0007152922,F,1920-08-23,1998-02-23,77,60-80,70-80,Midlands,E,45,1991-01-15,1,9000,Midlands,Gold,1,,8
0007157290,M,1945-04-09,1998-02-23,52,40-60,50-60,Midlands,C,20,1987-01-08,0,1000,Midlands,Silver,0,7,12
0007158327,M,1948-04-19,1998-02-23,49,40-60,40-50,London,C,21,1993-09-28,0,0.009999999999999998,South East,Tin,0,9,5
0007158408,F,1950-04-02,1998-02-23,47,40-60,40-50,N West,A,01,1991-08-19,1,500,North,Silver,1,12,7
0007158513,M,1952-05-21,1998-02-23,,,,London,D,28,1990-07-01,0,6053.36,South East,Gold,0,11,8
0007160046,U,1952-12-28,1998-02-23,45,40-60,40-50,London,D,27,1994-02-09,0,0.009999999999999998,South East,Tin,0,8,5
0007161549,M,1935-02-08,1998-02-23,,,,Wales & West,B,08,1993-11-24,0,2480,Midlands,Silver,0,6,5
0007164777,M,1945-10-10,1998-02-23,52,40-60,50-60,Wales & West,C,18,1990-06-01,0,60.01,Midlands,Silver,0,6,8
0007164939,F,1928-12-30,1998-02-23,69,60-80,60-70,S & S East,F,51,1993-02-01,0,6000,South East,Gold,0,2,6
0007166192,U,1946-07-26,1998-02-23,51,40-60,50-60,S & S East,C,24,1991-01-14,0,3000,South East,Silver,0,10,8
0007166710,,1923-10-19,1998-02-23,74,60-80,70-80,London,E,36,1992-03-09,0,3000,South East,Silver,0,7,6
0007167288,F,1950-08-10,1998-02-23,47,40-60,40-50,London,A,03,1992-04-01,0,0.009999999999999998,South East,Tin,0,15,6
0007168314,M,1944-08-17,1998-02-23,53,40-60,50-60,,D,27,1990-07-04,0,0.009999999999999998,,Tin,0,12,8
0007169485,F,1935-02-03,1998-02-23,63,60-80,60-70,London,B,12,1990-02-01,0,1100,South East,Silver,0,10,9
0007171749,F,1945-03-03,1998-02-23,53,40-60,50-60,Wales & West,D,33,1990-01-01,0,0.009999999999999998,Midlands,Tin,0,6,9
0007173725,,1948-05-06,1998-02-23,49,40-60,40-50,N East,B,07,1990-03-01,0,0.009999999999999998,North,Tin,0,10,8
0007174802,F,1929-01-04,1998-02-23,69,60-80,60-70,London,C,25,1982-08-26,1,3000,South East,Silver,1,4,16
0007175019,M,1936-10-10,1998-02-23,61,60-80,60-70,London,A,02,1996-02-12,0,8120.37,South East,Gold,0,7,3
0007175124,F,1934-01-27,1998-02-23,64,60-80,60-70,S & S East,B,14,1985-04-30,1,9000,South East,Gold,1,10,13
0007175760,U,1960-04-03,1998-02-23,37,20-40,30-40,East,F,53,1994-04-20,0,3000.01,Midlands,Silver,0,4,4
0007178158,,1957-08-28,1998-02-23,40,40-60,40-50,East,B,10,1997-06-03,1,6000,Midlands,Gold,1,,1
0007179863,,1920-04-23,1998-02-23,77,60-80,70-80,Wales & West,C,17,1991-02-04,0,9035.46,Midlands,Gold,0,7,8
0007181744,M,1958-05-01,1998-02-23,39,20-40,30-40,S & S East,D,27,1988-02-15,0,4200,South East,Silver,0,5,11
0007181892,F,1957-12-22,1998-02-23,40,40-60,40-50,London,D,32,1990-01-01,0,2300,South East,Silver,0,11,9
0007184220,F,1947-05-02,1998-02-23,50,40-60,50-60,Ulster,,,1988-06-04,0,6000,Midlands,Gold,0,9,10
0007184832,F,1932-07-23,1998-02-23,65,60-80,60-70,S & S East,C,19,1993-02-26,0,1000,South East,Silver,0,5,5
0007186215,M,1929-12-12,1998-02-23,68,60-80,60-70,Midlands,C,23,1987-03-04,0,26088.809999999998,Midlands,Platinum,0,6,11
0007188706,,1928-06-20,1998-02-23,69,60-80,60-70,N West,B,10,1990-02-24,0,2000,North,Silver,0,6,9
0007190565,F,1966-12-28,1998-02-23,31,20-40,30-40,Yorkshire,F,52,1997-01-14,1,2000,North,Silver,1,6,2
0007192312,F,1920-09-29,1998-02-23,77,60-80,70-80,Yorkshire,A,04,1985-10-30,0,12000,North,Gold,0,,13
0007197284,F,1967-06-09,1998-02-23,30,20-40,30-40,London,,,1990-02-01,0,0.009999999999999998,South East,Tin,0,8,9
0007199228,,1954-04-30,1998-02-23,43,40-60,40-50,Midlands,F,53,1994-04-06,1,0.009999999999999998,Midlands,Tin,1,11,4
0007200374,M,1944-05-14,1998-02-23,53,40-60,50-60,Wales & West,A,02,1994-02-02,0,0.009999999999999998,Midlands,Tin,0,10,5
0007200994,F,1954-11-01,1998-02-23,43,40-60,40-50,Midlands,C,24,1994-07-27,0,6000,Midlands,Gold,0,8,4
0007201761,M,1936-07-26,1998-02-23,61,60-80,60-70,S & S East,B,15,1982-04-26,1,2500,South East,Silver,1,9,16
0007202601,U,1930-05-18,1998-02-23,67,60-80,60-70,London,D,31,1969-04-24,0,6000,South East,Gold,0,8,29
0007202822,F,1945-08-05,1998-02-23,52,40-60,50-60,East,C,20,1991-06-05,0,0.009999999999999998,Midlands,Tin,0,4,7
0007204108,M,1952-03-15,1998-02-23,45,40-60,40-50,Wales & West,D,33,1990-06-20,0,1300,Midlands,Silver,0,6,8
0007206852,U,1934-01-26,1998-02-23,64,60-80,60-70,Wales & West,C,20,1996-05-01,0,100,Midlands,Silver,0,,2
0007207336,F,1967-10-13,1998-02-23,,,,C Scotland,F,48,1994-01-20,0,0.009999999999999998,Scottish,Tin,0,7,5
0007208200,,1937-10-12,1998-02-23,60,60-80,60-70,S & S East,D,28,1993-08-26,0,1000,South East,Silver,0,10,5
0007210329,F,1933-01-25,1998-02-23,65,60-80,60-70,N Scot,B,11,1991-06-24,0,6053.349999999999,Scottish,Gold,0,16,7
0007210558,U,1961-12-21,1998-02-23,,,,S & S East,E,44,1994-11-16,0,0.009999999999999998,South East,Tin,0,5,4
0007211325,F,1937-10-29,1998-02-23,60,60-80,60-70,S & S East,E,44,1994-05-19,0,11500,South East,Gold,0,7,4
0007212038,F,1938-06-08,1998-02-23,59,40-60,50-60,East,D,32,1993-08-20,0,1000,Midlands,Silver,0,7,5
0007212313,M,1945-10-07,1998-02-23,52,40-60,50-60,Midlands,F,51,1996-08-27,0,11351.34,Midlands,Gold,0,12,2
0007212720,F,1932-05-10,1998-02-23,,,,,B,09,1997-03-20,1,6000,,Gold,1,,1
0007213514,M,1942-06-17,1998-02-23,55,40-60,50-60,N East,B,15,1993-08-27,0,2000,North,Silver,0,6,5
0007214375,F,1951-08-01,1998-02-23,46,40-60,40-50,London,A,04,1996-03-30,2,11000,South East,Gold,1,14,2
0007216890,F,1965-09-10,1998-02-23,32,20-40,30-40,,D,32,1990-02-17,1,500,,Silver,1,6,9
0007217293,M,1944-06-05,1998-02-23,53,40-60,50-60,Midlands,F,53,1993-09-30,0,0.009999999999999998,Midlands,Tin,0,9,5
0007220553,F,1918-12-17,1998-02-23,79,60-80,70-80,Midlands,C,24,1977-10-31,0,27000,Midlands,Platinum,0,13,21
0007225148,F,1961-12-04,1998-02-23,36,20-40,30-40,London,D,35,1994-04-06,0,0.009999999999999998,South East,Tin,0,6,4
0007226829,M,1936-04-01,1998-02-23,61,60-80,60-70,East,C,16,1990-06-01,0,0.009999999999999998,Midlands,Tin,0,10,8
0007227787,F,1958-10-25,1998-02-23,39,20-40,30-40,Midlands,B,08,1990-01-01,1,0.009999999999999998,Midlands,Tin,1,14,9
0007228546,,1947-06-08,1998-02-23,,,,Wales & West,C,19,1990-01-01,0,0.029999999999999995,Midlands,Silver,0,12,9
0007231407,F,1943-07-12,1998-02-23,54,40-60,50-60,N West,F,51,1992-01-21,0,3000,North,Silver,0,6,7
0007234368,F,1973-03-24,1998-02-23,24,20-40,20-30,Midlands,D,32,1991-05-24,1,4500,Midlands,Silver,1,9,7
0007236468,M,1950-03-23,1998-02-23,47,40-60,40-50,S & S East,B,15,1985-06-26,0,12158.669999999998,South East,Gold,0,7,13
0007239599,M,1942-01-06,1998-02-23,56,40-60,50-60,London,A,04,1983-08-17,0,9600.429999999998,South East,Gold,0,12,15
0007240201,F,1950-01-12,1998-02-23,48,40-60,40-50,Yorkshire,E,38,1990-05-17,0,0.009999999999999998,North,Tin,0,10,8
0007240309,M,1956-12-07,1998-02-23,41,40-60,40-50,London,F,51,1986-10-31,0,1443.24,South East,Silver,0,7,12
0007240600,M,1944-02-11,1998-02-23,54,40-60,50-60,Wales & West,C,25,1994-01-25,0,0.009999999999999998,Midlands,Tin,0,8,5
0007240910,M,1925-06-28,1998-02-23,72,60-80,70-80,C Scotland,F,52,1985-07-08,0,0.009999999999999998,Scottish,Tin,0,11,13
0007246129,F,1948-02-08,1998-02-23,50,40-60,50-60,London,B,14,1994-10-14,0,0.009999999999999998,South East,Tin,0,7,4
0007246250,F,1930-12-11,1998-02-23,67,60-80,60-70,N West,C,19,1994-11-10,0,50000,North,Platinum,0,5,4
0007248180,F,1948-10-30,1998-02-23,49,40-60,40-50,London,,,1994-02-05,0,0.009999999999999998,South East,Tin,0,6,5
0007248423,F,1942-06-10,1998-02-23,55,40-60,50-60,London,D,35,,0,0.009999999999999998,South East,Tin,0,9,
0007249268,,1962-10-15,1998-02-23,35,20-40,30-40,Midlands,F,50,1994-03-30,0,600,Midlands,Silver,0,6,4
0007250916,F,1945-01-06,1998-02-23,53,40-60,50-60,East,D,35,1994-11-11,1,0.009999999999999998,Midlands,Tin,1,12,4
0007256035,F,1931-05-28,1998-02-23,66,60-80,60-70,Yorkshire,C,23,1994-02-01,0,0.019999999999999997,North,Silver,0,,5
0007256167,F,1931-07-21,1998-02-23,66,60-80,60-70,East,B,11,1994-01-25,0,2000,Midlands,Silver,0,,5
0007257228,F,1934-09-28,1998-02-23,63,60-80,60-70,Wales & West,D,35,1990-01-25,0,10000,Midlands,Gold,0,7,9
0007262248,M,1944-11-12,1998-02-23,53,40-60,50-60,Wales & West,D,31,1990-02-22,0,0.009999999999999998,Midlands,Tin,0,6,9
0007262353,F,1946-03-11,1998-02-23,51,40-60,50-60,London,C,21,1988-08-12,0,0.009999999999999998,South East,Tin,0,9,10
0007263457,M,1964-04-01,1998-02-23,33,20-40,30-40,Midlands,D,32,1994-08-15,0,0.009999999999999998,Midlands,Tin,0,8,4
0007263813,U,1938-08-16,1998-02-23,59,40-60,50-60,Wales & West,E,41,1996-02-07,0,2000,Midlands,Silver,0,12,3
0007264712,F,1933-04-07,1998-02-23,64,60-80,60-70,East,E,44,,0,0.009999999999999998,Midlands,Tin,0,5,
0007266219,,1952-09-07,1998-02-23,45,40-60,40-50,C Scotland,A,04,1994-02-05,0,0.009999999999999998,Scottish,Tin,0,8,5
0007269749,F,1928-06-18,1998-02-23,69,60-80,60-70,Wales & West,F,51,1994-02-11,0,2200,Midlands,Silver,0,8,5
0007270291,F,1960-06-19,1998-02-23,37,20-40,30-40,C Scotland,F,48,1991-01-30,1,500,Scottish,Silver,1,11,8
0007272308,F,1939-12-15,1998-02-23,,,,Midlands,D,30,1997-01-06,2,5997.8099999999995,Midlands,Gold,1,14,2
0007273576,U,1969-12-21,1998-02-23,28,20-40,20-30,C Scotland,D,31,1995-02-01,0,89.28999999999999,Scottish,Silver,0,8,4
0007273932,F,1948-09-14,1998-02-23,49,40-60,40-50,Yorkshire,F,51,1994-05-06,0,0.009999999999999998,North,Tin,0,8,4
0007274122,F,1946-05-04,1998-02-23,51,40-60,50-60,N West,B,10,1995-09-02,0,20527.8,North,Platinum,0,4,3
0007275463,F,1956-01-22,1998-02-23,42,40-60,40-50,Midlands,D,32,1990-07-01,1,0.009999999999999998,Midlands,Tin,1,7,8
0007275935,M,1973-07-17,1998-02-23,24,20-40,20-30,Yorkshire,F,52,1996-04-11,1,6000,North,Gold,1,6,2
0007276761,M,1949-10-16,1998-02-23,48,40-60,40-50,London,B,09,1993-08-18,1,2000,South East,Silver,1,5,5
0007277598,M,1940-03-06,1998-02-23,58,40-60,50-60,London,A,04,1991-01-17,0,3000,South East,Silver,0,,8
0007277792,F,1967-03-28,1998-02-23,30,20-40,30-40,Midlands,F,47,1993-12-30,0,0.009999999999999998,Midlands,Tin,0,6,5
0007278632,M,1941-09-07,1998-02-23,56,40-60,50-60,London,B,08,1991-01-15,1,12000,South East,Gold,1,10,8
0007280017,F,1944-04-04,1998-02-23,53,40-60,50-60,Ulster,,,1994-01-07,0,0.009999999999999998,Midlands,Tin,0,8,5
0007280238,,1941-09-06,1998-02-23,56,40-60,50-60,C Scotland,D,34,1994-02-04,0,6000,Scottish,Gold,0,10,5
0007280351,M,1944-05-26,1998-02-23,,,,London,F,51,1987-10-16,0,100,South East,Silver,0,7,11
0007283504,M,1921-11-03,1998-02-23,76,60-80,70-80,London,A,01,,0,0.009999999999999998,South East,Tin,0,7,
0007284381,M,1924-06-02,1998-02-23,73,60-80,70-80,London,D,28,1994-02-25,0,5000,South East,Silver,0,9,4
0007285159,F,1961-08-04,1998-02-23,36,20-40,30-40,S & S East,F,46,1987-05-23,0,6000,South East,Gold,0,7,11
0007285671,F,1926-06-22,1998-02-23,71,60-80,70-80,Wales & West,B,05,1996-05-29,0,6000,Midlands,Gold,0,11,2
0007287720,F,1950-02-26,1998-02-23,48,40-60,40-50,London,B,13,1994-02-19,0,1200,South East,Silver,0,9,5
0007288387,F,1942-08-02,1998-02-23,55,40-60,50-60,N West,C,25,1993-03-02,0,1092.22,North,Silver,0,3,5
0007288808,F,1919-05-17,1998-02-23,78,60-80,70-80,S West,D,30,1990-02-22,1,4100,South West,Silver,1,9,9
0007289928,F,1952-02-08,1998-02-23,46,40-60,40-50,Yorkshire,C,16,1994-02-11,0,0.009999999999999998,North,Tin,0,12,5
0007290357,F,1922-02-09,1998-02-23,76,60-80,70-80,London,F,52,1993-04-01,0,4000,South East,Silver,0,9,5
0007292384,F,1925-04-17,1998-02-23,72,60-80,70-80,S & S East,B,06,1995-03-06,0,12000,South East,Gold,0,8,3
0007294182,F,1944-08-01,1998-02-23,53,40-60,50-60,N West,E,41,1994-01-27,0,0.009999999999999998,North,Tin,0,10,5
0007294808,F,1964-08-20,1998-02-23,33,20-40,30-40,London,E,38,1991-01-15,0,3000,South East,Silver,0,8,8
0007299141,F,1935-01-07,1998-02-23,63,60-80,60-70,London,E,37,1990-08-01,0,3000.01,South East,Silver,0,3,8
0007299850,U,1972-03-29,1998-02-23,25,20-40,20-30,Wales & West,F,47,1996-11-05,0,12.5,Midlands,Silver,0,2,2
0007301499,M,1926-03-06,1998-02-23,72,60-80,70-80,,C,24,1997-01-14,1,6000,,Gold,1,6,2
0007304099,M,1956-09-05,1998-02-23,41,40-60,40-50,East,B,10,1990-02-01,0,1000.01,Midlands,Silver,0,6,9
0007307861,M,1931-01-27,1998-02-23,67,60-80,60-70,Wales & West,C,23,1990-04-24,0,0.009999999999999998,Midlands,Tin,0,6,8
0007309856,F,1929-02-10,1998-02-23,69,60-80,60-70,S & S East,D,34,1995-01-12,0,5000,South East,Silver,0,14,4
0007311222,F,1963-06-02,1998-02-23,34,20-40,30-40,East,F,50,1990-02-17,1,1500,Midlands,Silver,1,10,9
0007323255,F,1944-09-13,1998-02-23,53,40-60,50-60,London,D,32,1996-05-20,0,6000,South East,Gold,0,8,2
0007326599,U,1959-12-24,1998-02-23,38,20-40,30-40,N West,C,17,1991-12-01,0,0.009999999999999998,North,Tin,0,8,7
0007326637,M,1948-04-02,1998-02-23,,,,London,C,20,1994-03-04,0,6053.339999999999,South East,Gold,0,7,4
0007329172,F,1950-10-14,1998-02-23,47,40-60,40-50,London,D,27,1997-11-05,0,2000,South East,Silver,0,12,1
0007329628,,1925-06-17,1998-02-23,72,60-80,70-80,London,E,44,1984-08-31,0,22000,South East,Platinum,0,7,14
0007330014,U,1930-10-01,1998-02-23,67,60-80,60-70,London,B,10,1993-06-07,0,21000,South East,Platinum,0,3,5
0007337485,F,1960-10-29,1998-02-23,37,20-40,30-40,Midlands,,,1994-02-10,1,0.009999999999999998,Midlands,Tin,1,8,5
0007338589,M,1944-10-04,1998-02-23,53,40-60,50-60,Yorkshire,B,14,1990-04-04,0,4884.25,North,Silver,0,3,8
0007349475,U,1931-09-28,1998-02-23,66,60-80,60-70,Midlands,C,25,1987-12-31,0,4000,Midlands,Silver,0,11,11
0007349769,U,1929-06-28,1998-02-23,68,60-80,60-70,East,C,24,1994-11-01,0,5000,Midlands,Silver,0,12,4
0007349785,F,1938-12-02,1998-02-23,59,40-60,50-60,Wales & West,C,19,1996-03-21,0,12000.01,Midlands,Gold,0,8,2
0007350341,M,1936-12-07,1998-02-23,61,60-80,60-70,London,C,25,1987-10-01,0,3600,South East,Silver,0,8,11
0007351437,M,1955-05-19,1998-02-23,42,40-60,40-50,S & S East,C,17,1990-03-01,1,0.009999999999999998,South East,Tin,1,9,8
0007352158,F,1940-02-27,1998-02-23,58,40-60,50-60,S & S East,B,05,1991-04-04,2,12105.32,South East,Gold,1,15,7
0007352565,F,1947-03-05,1998-02-23,51,40-60,50-60,Yorkshire,F,51,1990-06-01,0,0.009999999999999998,North,Tin,0,11,8
0007353286,,1949-07-30,1998-02-23,48,40-60,40-50,Midlands,F,51,1990-05-30,0,500,Midlands,Silver,0,7,8
0007353359,U,1962-06-01,1998-02-23,,,,London,C,26,1993-03-04,0,0.009999999999999998,South East,Tin,0,6,5
0007354215,F,1941-11-12,1998-02-23,56,40-60,50-60,Wales & West,D,28,1992-09-09,0,6025,Midlands,Gold,0,7,6
0007356935,F,1952-01-15,1998-02-23,46,40-60,40-50,N West,F,52,1996-03-28,0,5000,North,Silver,0,10,2
0007358075,F,1937-09-02,1998-02-23,60,60-80,60-70,S & S East,B,12,1996-01-23,1,6000,South East,Gold,1,2,3
0007358474,,1951-12-29,1998-02-23,46,40-60,40-50,N West,D,33,1994-01-06,0,0.009999999999999998,North,Tin,0,7,5
0007360908,,1959-01-14,1998-02-23,39,20-40,30-40,N Scot,B,10,1993-09-20,0,0.009999999999999998,Scottish,Tin,0,8,5
0007362137,F,1942-10-02,1998-02-23,55,40-60,50-60,C Scotland,F,53,1990-07-25,0,600,Scottish,Silver,0,10,8
0007362153,F,1946-08-19,1998-02-23,51,40-60,50-60,London,A,04,1996-04-17,0,3000,South East,Silver,0,6,2
0007367953,F,1952-07-16,1998-02-23,45,40-60,40-50,London,F,52,1991-08-05,0,4000,South East,Silver,0,,7
0007368410,F,1966-11-07,1998-02-23,31,20-40,30-40,Wales & West,F,51,1990-01-20,1,600,Midlands,Silver,1,8,9
0007368968,U,1930-03-23,1998-02-23,67,60-80,60-70,S & S East,C,19,1996-01-18,0,9000,South East,Gold,0,6,3
0007369514,,1955-05-04,1998-02-23,42,40-60,40-50,C Scotland,E,40,1994-03-17,0,8100,Scottish,Gold,0,6,4
0007370032,F,1959-08-02,1998-02-23,38,20-40,30-40,Midlands,F,51,1990-05-01,0,0.009999999999999998,Midlands,Tin,0,8,8
0007371365,M,1952-02-10,1998-02-23,46,40-60,40-50,Yorkshire,D,32,1993-09-22,0,0.009999999999999998,North,Tin,0,1,5
0007377223,,1941-08-20,1998-02-23,56,40-60,50-60,S & S East,E,41,1995-03-29,0,4000,South East,Silver,0,8,3
0007377789,M,1943-01-16,1998-02-23,55,40-60,50-60,London,D,28,1990-07-01,0,0.009999999999999998,South East,Tin,0,5,8
0007381115,M,1947-06-30,1998-02-23,50,40-60,50-60,London,A,04,1996-02-05,0,3000,South East,Silver,0,11,3
0007387032,M,1944-01-15,1998-02-23,54,40-60,50-60,N West,D,32,1997-11-26,0,13000,North,Gold,0,11,1
0007391781,,1949-10-18,1998-02-23,48,40-60,40-50,Wales & West,C,16,1993-12-21,0,0.009999999999999998,Midlands,Tin,0,9,5
0007392079,F,1957-05-03,1998-02-23,40,40-60,40-50,Border,B,15,1997-05-27,1,3000,Scottish,Silver,1,11,1
0007395248,F,1965-07-04,1998-02-23,32,20-40,30-40,N West,C,18,1993-11-15,0,840,North,Silver,0,5,5
0007398786,F,1966-10-01,1998-02-23,31,20-40,30-40,London,D,29,1994-06-01,1,1000,South East,Silver,1,13,4
0007399383,F,1962-02-07,1998-02-23,36,20-40,30-40,Border,B,12,1989-02-16,1,600,Scottish,Silver,1,6,10
0007400292,F,1960-08-28,1998-02-23,37,20-40,30-40,Wales & West,C,25,1997-08-19,2,6000,Midlands,Gold,1,12,1
0007400675,F,1946-01-03,1998-02-23,52,40-60,50-60,East,E,38,1991-07-04,0,3500,Midlands,Silver,0,9,7
0007401183,M,1925-08-04,1998-02-23,72,60-80,70-80,N East,B,06,1987-09-15,0,23776.73,North,Platinum,0,6,11
0007402937,F,1954-06-05,1998-02-23,43,40-60,40-50,S & S East,C,19,1994-09-22,0,0.009999999999999998,South East,Tin,0,14,4
0007403550,M,1953-02-20,1998-02-23,45,40-60,40-50,Yorkshire,C,19,1990-01-01,0,300,North,Silver,0,7,9
0007404921,M,1948-01-27,1998-02-23,50,40-60,50-60,S West,B,11,1997-11-06,1,3000,South West,Silver,1,3,1
0007406568,F,1923-06-18,1998-02-23,74,60-80,70-80,London,A,02,1983-09-01,0,20678.85,South East,Platinum,0,10,15
0007406711,U,1926-03-27,1998-02-23,71,60-80,70-80,N West,F,47,1995-12-22,0,20721.07,North,Platinum,0,6,3
0007407726,,1941-09-20,1998-02-23,56,40-60,50-60,East,C,19,,0,0.009999999999999998,Midlands,Tin,0,7,
0007409656,M,1945-06-14,1998-02-23,52,40-60,50-60,London,B,14,1993-01-14,0,6000,South East,Gold,0,6,6
0007413203,U,1956-10-28,1998-02-23,41,40-60,40-50,Yorkshire,F,53,1994-09-28,0,0.009999999999999998,North,Tin,0,8,4
